/Users/oliverclive-griffin/personal/transformer-from-scratch/train.py:65: UserWarning: The operator 'aten::roll' is not currently supported on the MPS backend and will fall back to run on the CPU. This may have performance implications. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/aten/src/ATen/mps/MPSFallback.mm:11.)
  y = torch.roll(x, -1, dims=-1)
epoch 0 batch 134 loss 2.4000403881073
epoch 0 batch 135 loss 2.563150405883789
epoch 0 batch 136 loss 2.6755897998809814
epoch 0 batch 137 loss 2.4850738048553467
epoch 0 batch 138 loss 2.5735301971435547
epoch 0 batch 139 loss 2.4635963439941406
epoch 0 batch 140 loss 2.5409765243530273
epoch 0 batch 141 loss 2.491607666015625
epoch 0 batch 142 loss 2.640420913696289
epoch 0 batch 143 loss 2.5917813777923584
epoch 0 batch 144 loss 2.5789222717285156
epoch 0 batch 145 loss 2.497454881668091
epoch 0 batch 146 loss 2.501596450805664
epoch 0 batch 147 loss 2.4626636505126953
epoch 0 batch 148 loss 2.5647530555725098
epoch 0 batch 149 loss 2.5524678230285645
epoch 0 batch 150 loss 2.5220980644226074
epoch 0 batch 151 loss 2.5343222618103027
epoch 0 batch 152 loss 2.4326539039611816
epoch 0 batch 153 loss 2.5912508964538574
epoch 0 batch 154 loss 2.470414400100708
epoch 0 batch 155 loss 2.4481892585754395
epoch 0 batch 156 loss 2.513014793395996
epoch 0 batch 157 loss 2.4507102966308594
epoch 0 batch 158 loss 2.534313201904297
epoch 0 batch 159 loss 2.6132664680480957
epoch 0 batch 160 loss 2.5648787021636963
epoch 0 batch 161 loss 2.510037422180176
epoch 0 batch 162 loss 2.576627492904663
epoch 0 batch 163 loss 2.585817813873291
epoch 0 batch 164 loss 2.549781084060669
epoch 0 batch 165 loss 2.434629440307617
epoch 0 batch 166 loss 2.4783425331115723
epoch 0 batch 167 loss 2.47133731842041
epoch 0 batch 168 loss 2.5195720195770264
epoch 0 batch 169 loss 2.519078016281128
epoch 0 batch 170 loss 2.468405246734619
epoch 0 batch 171 loss 2.5474162101745605
epoch 0 batch 172 loss 2.478220224380493
epoch 0 batch 173 loss 2.537156581878662
epoch 0 batch 174 loss 2.4274849891662598
epoch 0 batch 175 loss 2.63905668258667
epoch 0 batch 176 loss 2.5325868129730225
epoch 0 batch 177 loss 2.4201242923736572
epoch 0 batch 178 loss 2.4825758934020996
epoch 0 batch 179 loss 2.4389145374298096
epoch 0 batch 180 loss 2.421159267425537
epoch 0 batch 181 loss 2.62449312210083
epoch 0 batch 182 loss 2.4476382732391357
epoch 0 batch 183 loss 2.42503023147583
epoch 0 batch 184 loss 2.404855489730835
epoch 0 batch 185 loss 2.6307291984558105
epoch 0 batch 186 loss 2.5204596519470215
epoch 0 batch 187 loss 2.5228729248046875
epoch 0 batch 188 loss 2.5345306396484375
epoch 0 batch 189 loss 2.5742111206054688
epoch 0 batch 190 loss 2.501833915710449
epoch 0 batch 191 loss 2.5274691581726074
epoch 0 batch 192 loss 2.504229784011841
epoch 0 batch 193 loss 2.5032808780670166
epoch 0 batch 194 loss 2.471209764480591
epoch 0 batch 195 loss 2.486804485321045
epoch 0 batch 196 loss 2.4641804695129395
epoch 0 batch 197 loss 2.5007076263427734
epoch 0 batch 198 loss 2.4903154373168945
epoch 0 batch 199 loss 2.5476362705230713
epoch 0 batch 200 loss 2.4279091358184814
epoch 0 batch 201 loss 2.4986324310302734
epoch 0 batch 202 loss 2.5058186054229736
epoch 0 batch 203 loss 2.539576530456543
epoch 0 batch 204 loss 2.418801784515381
epoch 0 batch 205 loss 2.5715394020080566
epoch 0 batch 206 loss 2.5668766498565674
epoch 0 batch 207 loss 2.4774866104125977
epoch 0 batch 208 loss 2.5286293029785156
epoch 0 batch 209 loss 2.518446445465088
epoch 0 batch 210 loss 2.4435839653015137
epoch 0 batch 211 loss 2.494497776031494
epoch 0 batch 212 loss 2.505129814147949
epoch 0 batch 213 loss 2.5048041343688965
epoch 0 batch 214 loss 2.5524215698242188
epoch 0 batch 215 loss 2.5002756118774414
epoch 0 batch 216 loss 2.63491153717041
epoch 0 batch 217 loss 2.4214608669281006
epoch 0 batch 218 loss 2.46543550491333
epoch 0 batch 219 loss 2.470015048980713
epoch 0 batch 220 loss 2.465066432952881
epoch 0 batch 221 loss 2.494943857192993
epoch 0 batch 222 loss 2.486926555633545
epoch 0 batch 223 loss 2.5210211277008057
epoch 0 batch 224 loss 2.468547821044922
epoch 0 batch 225 loss 2.510737895965576
epoch 0 batch 226 loss 2.425614595413208
epoch 0 batch 227 loss 2.6074953079223633
epoch 0 batch 228 loss 2.4654738903045654
epoch 0 batch 229 loss 2.549848794937134
epoch 0 batch 230 loss 2.525334358215332
epoch 0 batch 231 loss 2.550112724304199
epoch 0 batch 232 loss 2.446526527404785
epoch 0 batch 233 loss 2.410029649734497
epoch 0 batch 234 loss 2.7596912384033203
epoch 0 batch 235 loss 2.4419145584106445
epoch 0 batch 236 loss 2.50689959526062
epoch 0 batch 237 loss 2.4804487228393555
epoch 0 batch 238 loss 2.446937322616577
epoch 0 batch 239 loss 2.551532506942749
epoch 0 batch 240 loss 2.577599287033081
epoch 0 batch 241 loss 2.572453022003174
epoch 0 batch 242 loss 2.5152082443237305
epoch 0 batch 243 loss 2.436002254486084
epoch 0 batch 244 loss 2.5100338459014893
epoch 0 batch 245 loss 2.52894926071167
epoch 0 batch 246 loss 2.5411014556884766
epoch 0 batch 247 loss 2.514545440673828
epoch 0 batch 248 loss 2.429227352142334
epoch 0 batch 249 loss 2.466510057449341
epoch 0 batch 250 loss 2.5261478424072266
epoch 0 batch 251 loss 2.534651279449463
epoch 0 batch 252 loss 2.3933591842651367
epoch 0 batch 253 loss 2.5310192108154297
epoch 0 batch 254 loss 2.600609302520752
epoch 0 batch 255 loss 2.634430170059204
epoch 0 batch 256 loss 2.5175013542175293
epoch 0 batch 257 loss 2.5911030769348145
epoch 0 batch 258 loss 2.4709064960479736
epoch 0 batch 259 loss 2.5234010219573975
epoch 0 batch 260 loss 2.5090079307556152
epoch 0 batch 261 loss 2.5868728160858154
epoch 0 batch 262 loss 2.5308942794799805
epoch 0 batch 263 loss 2.552011013031006
epoch 0 batch 264 loss 2.4338126182556152
epoch 0 batch 265 loss 2.5214412212371826
epoch 0 batch 266 loss 2.4728074073791504
epoch 0 batch 267 loss 2.4544639587402344
epoch 0 batch 268 loss 2.5314626693725586
epoch 0 batch 269 loss 2.588895320892334
epoch 0 batch 270 loss 2.5585336685180664
epoch 0 batch 271 loss 2.4308927059173584
epoch 0 batch 272 loss 2.5008792877197266
epoch 0 batch 273 loss 2.5400476455688477
epoch 0 batch 274 loss 2.5295114517211914
epoch 0 batch 275 loss 2.57458758354187
epoch 0 batch 276 loss 2.4321413040161133
epoch 0 batch 277 loss 2.495504379272461
epoch 0 batch 278 loss 2.469142436981201
epoch 0 batch 279 loss 2.4742636680603027
epoch 0 batch 280 loss 2.5701076984405518
epoch 0 batch 281 loss 2.541820526123047
epoch 0 batch 282 loss 2.4940154552459717
epoch 0 batch 283 loss 2.4418716430664062
epoch 0 batch 284 loss 2.4473204612731934
epoch 0 batch 285 loss 2.6439144611358643
epoch 0 batch 286 loss 2.564626693725586
epoch 0 batch 287 loss 2.5193557739257812
epoch 0 batch 288 loss 2.578436851501465
epoch 0 batch 289 loss 2.5751683712005615
epoch 0 batch 290 loss 2.506788730621338
epoch 0 batch 291 loss 2.5003793239593506
epoch 0 batch 292 loss 2.614396572113037
epoch 0 batch 293 loss 2.4757232666015625
epoch 0 batch 294 loss 2.478193759918213
epoch 0 batch 295 loss 2.4447922706604004
epoch 0 batch 296 loss 2.5445334911346436
epoch 0 batch 297 loss 2.4977993965148926
epoch 0 batch 298 loss 2.4291751384735107
epoch 0 batch 299 loss 2.5651674270629883
epoch 0 batch 300 loss 2.439317226409912
epoch 0 batch 301 loss 2.5245282649993896
epoch 0 batch 302 loss 2.445051670074463
epoch 0 batch 303 loss 2.5135204792022705
epoch 0 batch 304 loss 2.5337424278259277
epoch 0 batch 305 loss 2.497044563293457
epoch 0 batch 306 loss 2.527069330215454
epoch 0 batch 307 loss 2.375636100769043
epoch 0 batch 308 loss 2.672177791595459
epoch 0 batch 309 loss 2.522714138031006
epoch 0 batch 310 loss 2.471576690673828
epoch 0 batch 311 loss 2.560932159423828
epoch 0 batch 312 loss 2.4443600177764893
epoch 0 batch 313 loss 2.4563181400299072
epoch 0 batch 314 loss 2.5524961948394775
epoch 0 batch 315 loss 2.436708927154541
epoch 0 batch 316 loss 2.4833860397338867
epoch 0 batch 317 loss 2.559819221496582
epoch 0 batch 318 loss 2.4552502632141113
epoch 0 batch 319 loss 2.457150936126709
epoch 0 batch 320 loss 2.4567742347717285
epoch 0 batch 321 loss 2.5355277061462402
epoch 0 batch 322 loss 2.4362034797668457
epoch 0 batch 323 loss 2.4957265853881836
epoch 0 batch 324 loss 2.542712688446045
