/Users/oliverclive-griffin/personal/transformer-from-scratch/train.py:63: UserWarning: The operator 'aten::roll' is not currently supported on the MPS backend and will fall back to run on the CPU. This may have performance implications. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/aten/src/ATen/mps/MPSFallback.mm:11.)
  y = torch.roll(x, -1, dims=-1)
epoch 3 batch 28 loss 2.427612781524658
epoch 3 batch 29 loss 2.460026979446411
epoch 3 batch 30 loss 2.4359371662139893
epoch 3 batch 31 loss 2.4503173828125
epoch 3 batch 32 loss 2.453049659729004
epoch 3 batch 33 loss 2.4650321006774902
epoch 3
<>'tltdfdftslddtdt tlt\n<>
epoch 4 batch 0 loss 2.429966926574707
epoch 4 batch 1 loss 2.4587504863739014
epoch 4 batch 2 loss 2.454341411590576
epoch 4 batch 3 loss 2.4462404251098633
epoch 4 batch 4 loss 2.4505510330200195
epoch 4 batch 5 loss 2.4461779594421387
epoch 4 batch 6 loss 2.4384889602661133
epoch 4 batch 7 loss 2.4380836486816406
epoch 4 batch 8 loss 2.453770399093628
epoch 4 batch 9 loss 2.4327754974365234
epoch 4 batch 10 loss 2.434446096420288
epoch 4 batch 11 loss 2.4700276851654053
epoch 4 batch 12 loss 2.415487289428711
epoch 4 batch 13 loss 2.4479165077209473
epoch 4 batch 14 loss 2.4163613319396973
epoch 4 batch 15 loss 2.446624279022217
epoch 4 batch 16 loss 2.4115610122680664
epoch 4 batch 17 loss 2.4531755447387695
epoch 4 batch 18 loss 2.4256227016448975
epoch 4 batch 19 loss 2.4519386291503906
epoch 4 batch 20 loss 2.445269823074341
epoch 4 batch 21 loss 2.4378280639648438
epoch 4 batch 22 loss 2.4355711936950684
epoch 4 batch 23 loss 2.4431281089782715
epoch 4 batch 24 loss 2.3947994709014893
epoch 4 batch 25 loss 2.4665541648864746
epoch 4 batch 26 loss 2.430540084838867
epoch 4 batch 27 loss 2.4423305988311768
epoch 4 batch 28 loss 2.447852373123169
epoch 4 batch 29 loss 2.432072639465332
epoch 4 batch 30 loss 2.40844464302063
epoch 4 batch 31 loss 2.4055962562561035
epoch 4 batch 32 loss 2.432060480117798
epoch 4 batch 33 loss 2.4248709678649902
epoch 4
<>.\n\n\n \n\n\n\n\n\n\n\n\n\n \n\n\n\n\n<>
epoch 5 batch 0 loss 2.3788113594055176
epoch 5 batch 1 loss 2.4037771224975586
epoch 5 batch 2 loss 2.4272513389587402
epoch 5 batch 3 loss 2.4012248516082764
epoch 5 batch 4 loss 2.4122416973114014
epoch 5 batch 5 loss 2.4232544898986816
epoch 5 batch 6 loss 2.3962974548339844
epoch 5 batch 7 loss 2.419985771179199
epoch 5 batch 8 loss 2.394749164581299
epoch 5 batch 9 loss 2.402716636657715
epoch 5 batch 10 loss 2.4019360542297363
epoch 5 batch 11 loss 2.3825364112854004
epoch 5 batch 12 loss 2.370584487915039
epoch 5 batch 13 loss 2.3813986778259277
epoch 5 batch 14 loss 2.368523359298706
epoch 5 batch 15 loss 2.354051351547241
epoch 5 batch 16 loss 2.3815839290618896
epoch 5 batch 17 loss 2.365402936935425
epoch 5 batch 18 loss 2.328258514404297
epoch 5 batch 19 loss 2.3690037727355957
epoch 5 batch 20 loss 2.363539695739746
epoch 5 batch 21 loss 2.3798954486846924
epoch 5 batch 22 loss 2.3620998859405518
epoch 5 batch 23 loss 2.370239734649658
epoch 5 batch 24 loss 2.3489458560943604
epoch 5 batch 25 loss 2.3020901679992676
epoch 5 batch 26 loss 2.3472371101379395
epoch 5 batch 27 loss 2.312778949737549
epoch 5 batch 28 loss 2.3240134716033936
epoch 5 batch 29 loss 2.3406059741973877
epoch 5 batch 30 loss 2.3327879905700684
epoch 5 batch 31 loss 2.336104393005371
epoch 5 batch 32 loss 2.3675479888916016
epoch 5 batch 33 loss 2.292266607284546
epoch 5
<>pltoooerilopoepraeolr<>
epoch 6 batch 0 loss 2.3075647354125977
epoch 6 batch 1 loss 2.3071608543395996
epoch 6 batch 2 loss 2.3270182609558105
epoch 6 batch 3 loss 2.2681963443756104
epoch 6 batch 4 loss 2.3196349143981934
epoch 6 batch 5 loss 2.2862582206726074
epoch 6 batch 6 loss 2.3301005363464355
epoch 6 batch 7 loss 2.2852976322174072
epoch 6 batch 8 loss 2.2957937717437744
epoch 6 batch 9 loss 2.3040108680725098
epoch 6 batch 10 loss 2.2987256050109863
epoch 6 batch 11 loss 2.3168516159057617
epoch 6 batch 12 loss 2.285098075866699
epoch 6 batch 13 loss 2.2733511924743652
epoch 6 batch 14 loss 2.310558795928955
epoch 6 batch 15 loss 2.265242099761963
epoch 6 batch 16 loss 2.2856602668762207
epoch 6 batch 17 loss 2.285839557647705
epoch 6 batch 18 loss 2.262101173400879
epoch 6 batch 19 loss 2.2913851737976074
epoch 6 batch 20 loss 2.2713844776153564
epoch 6 batch 21 loss 2.242973804473877
epoch 6 batch 22 loss 2.2800235748291016
epoch 6 batch 23 loss 2.250823974609375
epoch 6 batch 24 loss 2.245574474334717
epoch 6 batch 25 loss 2.2963929176330566
epoch 6 batch 26 loss 2.2751073837280273
epoch 6 batch 27 loss 2.2719082832336426
epoch 6 batch 28 loss 2.252706527709961
epoch 6 batch 29 loss 2.246121406555176
epoch 6 batch 30 loss 2.2752809524536133
epoch 6 batch 31 loss 2.2490384578704834
epoch 6 batch 32 loss 2.3051645755767822
epoch 6 batch 33 loss 2.2802624702453613
epoch 6
<>bebaauualealloerleuea<>
epoch 7 batch 0 loss 2.2760889530181885
epoch 7 batch 1 loss 2.242828130722046
epoch 7 batch 2 loss 2.2451579570770264
epoch 7 batch 3 loss 2.2516229152679443
epoch 7 batch 4 loss 2.255950927734375
epoch 7 batch 5 loss 2.242485523223877
epoch 7 batch 6 loss 2.2644004821777344
epoch 7 batch 7 loss 2.260366439819336
epoch 7 batch 8 loss 2.214262008666992
epoch 7 batch 9 loss 2.264035701751709
epoch 7 batch 10 loss 2.2524471282958984
epoch 7 batch 11 loss 2.265235424041748
epoch 7 batch 12 loss 2.2468156814575195
epoch 7 batch 13 loss 2.2421302795410156
epoch 7 batch 14 loss 2.2157673835754395
epoch 7 batch 15 loss 2.2283802032470703
epoch 7 batch 16 loss 2.2122373580932617
epoch 7 batch 17 loss 2.242982864379883
epoch 7 batch 18 loss 2.211184501647949
epoch 7 batch 19 loss 2.1996777057647705
epoch 7 batch 20 loss 2.232762336730957
epoch 7 batch 21 loss 2.2417385578155518
epoch 7 batch 22 loss 2.200636625289917
epoch 7 batch 23 loss 2.188807964324951
epoch 7 batch 24 loss 2.220121383666992
epoch 7 batch 25 loss 2.2353506088256836
epoch 7 batch 26 loss 2.2135744094848633
epoch 7 batch 27 loss 2.230642080307007
epoch 7 batch 28 loss 2.2125942707061768
epoch 7 batch 29 loss 2.1679177284240723
epoch 7 batch 30 loss 2.215610980987549
epoch 7 batch 31 loss 2.175036907196045
epoch 7 batch 32 loss 2.1922216415405273
epoch 7 batch 33 loss 2.2146177291870117
epoch 7
<>\nkatlstktwtbwykkidowt<>
epoch 8 batch 0 loss 2.222014904022217
epoch 8 batch 1 loss 2.1742115020751953
epoch 8 batch 2 loss 2.2023630142211914
epoch 8 batch 3 loss 2.1410562992095947
epoch 8 batch 4 loss 2.2027995586395264
epoch 8 batch 5 loss 2.209125518798828
epoch 8 batch 6 loss 2.235231399536133
epoch 8 batch 7 loss 2.202848196029663
epoch 8 batch 8 loss 2.181796073913574
epoch 8 batch 9 loss 2.1952452659606934
epoch 8 batch 10 loss 2.187944173812866
epoch 8 batch 11 loss 2.160137891769409
epoch 8 batch 12 loss 2.2027812004089355
epoch 8 batch 13 loss 2.2096362113952637
epoch 8 batch 14 loss 2.1704890727996826
epoch 8 batch 15 loss 2.1895077228546143
epoch 8 batch 16 loss 2.2002501487731934
epoch 8 batch 17 loss 2.2138547897338867
epoch 8 batch 18 loss 2.1847569942474365
epoch 8 batch 19 loss 2.1577980518341064
epoch 8 batch 20 loss 2.2147204875946045
epoch 8 batch 21 loss 2.182168483734131
epoch 8 batch 22 loss 2.189084529876709
epoch 8 batch 23 loss 2.1807713508605957
epoch 8 batch 24 loss 2.2220542430877686
epoch 8 batch 25 loss 2.1551923751831055
epoch 8 batch 26 loss 2.1748507022857666
epoch 8 batch 27 loss 2.1577281951904297
epoch 8 batch 28 loss 2.140160083770752
epoch 8 batch 29 loss 2.2093124389648438
epoch 8 batch 30 loss 2.1813838481903076
epoch 8 batch 31 loss 2.181619167327881
epoch 8 batch 32 loss 2.173717498779297
epoch 8 batch 33 loss 2.15476655960083
epoch 8
<>liodelleleia eiaoeete<>
epoch 9 batch 0 loss 2.1926698684692383
epoch 9 batch 1 loss 2.175248861312866
epoch 9 batch 2 loss 2.162299156188965
epoch 9 batch 3 loss 2.126990556716919
epoch 9 batch 4 loss 2.1603293418884277
epoch 9 batch 5 loss 2.1887736320495605
epoch 9 batch 6 loss 2.1755597591400146
epoch 9 batch 7 loss 2.1537623405456543
epoch 9 batch 8 loss 2.1348371505737305
epoch 9 batch 9 loss 2.1626675128936768
epoch 9 batch 10 loss 2.112351894378662
epoch 9 batch 11 loss 2.1677751541137695
epoch 9 batch 12 loss 2.174340009689331
epoch 9 batch 13 loss 2.155663013458252
epoch 9 batch 14 loss 2.1302196979522705
epoch 9 batch 15 loss 2.186164379119873
epoch 9 batch 16 loss 2.1213011741638184
epoch 9 batch 17 loss 2.160207986831665
epoch 9 batch 18 loss 2.1901907920837402
epoch 9 batch 19 loss 2.141608953475952
epoch 9 batch 20 loss 2.1284022331237793
epoch 9 batch 21 loss 2.1492648124694824
epoch 9 batch 22 loss 2.141176700592041
epoch 9 batch 23 loss 2.1278481483459473
epoch 9 batch 24 loss 2.1686224937438965
epoch 9 batch 25 loss 2.1429529190063477
epoch 9 batch 26 loss 2.120960235595703
epoch 9 batch 27 loss 2.1626999378204346
epoch 9 batch 28 loss 2.1369762420654297
epoch 9 batch 29 loss 2.130180597305298
epoch 9 batch 30 loss 2.1479971408843994
epoch 9 batch 31 loss 2.165851354598999
epoch 9 batch 32 loss 2.099496841430664
epoch 9 batch 33 loss 2.1652204990386963
epoch 9
<>wrfahheihaih'acnaaia <>
epoch 10 batch 0 loss 2.1344237327575684
epoch 10 batch 1 loss 2.090266227722168
epoch 10 batch 2 loss 2.130013942718506
epoch 10 batch 3 loss 2.178487777709961
epoch 10 batch 4 loss 2.097874164581299
epoch 10 batch 5 loss 2.132050037384033
epoch 10 batch 6 loss 2.1174540519714355
epoch 10 batch 7 loss 2.1274733543395996
epoch 10 batch 8 loss 2.120276927947998
epoch 10 batch 9 loss 2.1162021160125732
epoch 10 batch 10 loss 2.106036901473999
epoch 10 batch 11 loss 2.088812828063965
epoch 10 batch 12 loss 2.1406102180480957
epoch 10 batch 13 loss 2.106790065765381
epoch 10 batch 14 loss 2.1267189979553223
epoch 10 batch 15 loss 2.0794625282287598
epoch 10 batch 16 loss 2.1375343799591064
epoch 10 batch 17 loss 2.144507646560669
epoch 10 batch 18 loss 2.1275336742401123
epoch 10 batch 19 loss 2.1408302783966064
epoch 10 batch 20 loss 2.147860527038574
